code,sector,name
1101,水泥工業,台泥
1102,水泥工業,亞泥
1103,水泥工業,嘉泥
1104,水泥工業,環泥
1108,水泥工業,幸福
1109,水泥工業,信大
1110,水泥工業,東泥
1201,食品工業,味全
1203,食品工業,味王
1210,食品工業,大成
1213,食品工業,大飲
1215,食品工業,卜蜂
1216,食品工業,統一
1217,食品工業,愛之味
1218,食品工業,泰山
1219,食品工業,福壽
1220,食品工業,台榮
1225,食品工業,福懋油
1227,食品工業,佳格
1229,食品工業,聯華
1231,食品工業,聯華食
1232,食品工業,大統益
1233,食品工業,天仁
1234,食品工業,黑松
1235,食品工業,興泰
1236,食品工業,宏亞
1256,食品工業,鮮活果汁-KY
1301,塑膠工業,台塑
1303,塑膠工業,南亞
1304,塑膠工業,台聚
1305,塑膠工業,華夏
1307,塑膠工業,三芳
1308,塑膠工業,亞聚
1309,塑膠工業,台達化
1310,塑膠工業,台苯
1312,塑膠工業,國喬
1313,塑膠工業,聯成
1314,塑膠工業,中石化
1315,塑膠工業,達新
1316,建材營造業,上曜
1319,汽車工業,東陽
1321,塑膠工業,大洋
1323,塑膠工業,永裕
1324,塑膠工業,地球
1325,塑膠工業,恆大
1326,塑膠工業,台化
1337,塑膠工業,再生-KY
1338,汽車工業,廣華-KY
1339,汽車工業,昭輝
1340,塑膠工業,勝悅-KY
1341,塑膠工業,富林-KY
1342,其他業,八貫
1402,紡織纖維,遠東新
1409,紡織纖維,新纖
1410,紡織纖維,南染
1413,紡織纖維,宏洲
1414,紡織纖維,東和
1416,其他業,廣豐
1417,紡織纖維,嘉裕
1418,紡織纖維,東華
1419,紡織纖維,新紡
1423,紡織纖維,利華
1432,運動休閒,大魯閣
1434,紡織纖維,福懋
1435,其他業,中福
1436,建材營造業,華友聯
1437,其他業,勤益控
1438,建材營造業,三地開發
1439,建材營造業,雋揚
1440,紡織纖維,南紡
1441,紡織纖維,大東
1442,建材營造業,名軒
1443,其他業,立益物流
1444,紡織纖維,力麗
1445,紡織纖維,大宇
1446,紡織纖維,宏和
1447,紡織纖維,力鵬
1449,紡織纖維,佳和
1451,紡織纖維,年興
1452,紡織纖維,宏益
1453,建材營造業,大將
1454,紡織纖維,台富
1455,紡織纖維,集盛
1456,建材營造業,怡華
1457,紡織纖維,宜進
1459,紡織纖維,聯發
1460,紡織纖維,宏遠
1463,紡織纖維,強盛新
1464,紡織纖維,得力
1465,紡織纖維,偉全
1466,紡織纖維,聚隆
1467,紡織纖維,南緯
1468,紡織纖維,昶和
1470,紡織纖維,大統新創
1471,電子零組件業,首利
1472,建材營造業,三洋實業
1473,紡織纖維,台南
1474,紡織纖維,弘裕
1475,紡織纖維,業旺
1476,紡織纖維,儒鴻
1477,紡織纖維,聚陽
1503,電機機械,士電
1504,電機機械,東元
1506,電機機械,正道
1512,汽車工業,瑞利
1513,電機機械,中興電
1514,電機機械,亞力
1515,電機機械,力山
1516,其他業,川飛
1517,電機機械,利奇
1519,電機機械,華城
1521,汽車工業,大億
1522,汽車工業,堤維西
1524,汽車工業,耿鼎
1525,汽車工業,江申
1526,電機機械,日馳
1527,電機機械,鑽全
1528,電機機械,恩德
1529,電機機械,樂事綠能
1530,電機機械,亞崴
1531,電機機械,高林股
1532,電機機械,勤美
1533,汽車工業,車王電
1535,電機機械,中宇
1536,汽車工業,和大
1537,電機機械,廣隆
1538,電機機械,正峰
1539,電機機械,巨庭
1540,電機機械,喬福
1541,電機機械,錩泰
1558,電機機械,伸興
1560,電機機械,中砂
1563,汽車工業,巧新
1568,汽車工業,倉佑
1582,電子零組件業,信錦
1583,電機機械,程泰
1587,汽車工業,吉茂
1589,電機機械,永冠-KY
1590,電機機械,亞德客-KY
1597,電機機械,直得
1598,運動休閒,岱宇
1603,電器電纜,華電
1604,電器電纜,聲寶
1605,電器電纜,華新
1608,電器電纜,華榮
1609,電器電纜,大亞
1611,電器電纜,中電
1612,電器電纜,宏泰
1614,電器電纜,三洋電
1615,電器電纜,大山
1616,電器電纜,億泰
1617,電器電纜,榮星
1618,電器電纜,合機
1623,電器電纜,大東電
1626,電器電纜,艾美特-KY
1702,食品工業,南僑
1707,生技醫療業,葡萄王
1708,化學工業,東鹼
1709,化學工業,和益
1710,化學工業,東聯
1711,化學工業,永光
1712,化學工業,興農
1713,化學工業,國化
1714,化學工業,和桐
1717,化學工業,長興
1718,化學工業,中纖
1720,生技醫療業,生達
1721,化學工業,三晃
1722,化學工業,台肥
1723,化學工業,中碳
1725,化學工業,元禎
1726,化學工業,永記
1727,化學工業,中華化
1730,化學工業,花仙子
1731,生技醫療業,美吾華
1732,化學工業,毛寶
1733,生技醫療業,五鼎
1734,生技醫療業,杏輝
1735,化學工業,日勝化
1736,運動休閒,喬山
1737,食品工業,臺鹽
1752,生技醫療業,南光
1760,生技醫療業,寶齡富錦
1762,生技醫療業,中化生
1773,化學工業,勝一
1776,化學工業,展宇
1783,生技醫療業,和康生
1786,生技醫療業,科妍
1789,生技醫療業,神隆
1795,生技醫療業,美時
1802,玻璃陶瓷,台玻
1805,建材營造業,寶徠
1806,玻璃陶瓷,冠軍
1808,建材營造業,潤隆
1809,玻璃陶瓷,中釉
1810,玻璃陶瓷,和成
1817,玻璃陶瓷,凱撒衛
1903,造紙工業,士紙
1904,造紙工業,正隆
1905,造紙工業,華紙
1906,造紙工業,寶隆
1907,造紙工業,永豐餘
1909,造紙工業,榮成
2002,鋼鐵工業,中鋼
2006,鋼鐵工業,東和鋼鐵
2007,鋼鐵工業,燁興
2008,鋼鐵工業,高興昌
2009,鋼鐵工業,第一銅
2010,鋼鐵工業,春源
2012,鋼鐵工業,春雨
2013,鋼鐵工業,中鋼構
2014,鋼鐵工業,中鴻
2015,鋼鐵工業,豐興
2017,鋼鐵工業,官田鋼
2020,鋼鐵工業,美亞
2022,鋼鐵工業,聚亨
2023,鋼鐵工業,燁輝
2024,鋼鐵工業,志聯
2025,鋼鐵工業,千興
2027,鋼鐵工業,大成鋼
2028,鋼鐵工業,威致
2029,鋼鐵工業,盛餘
2030,鋼鐵工業,彰源
2031,鋼鐵工業,新光鋼
2032,鋼鐵工業,新鋼
2033,鋼鐵工業,佳大
2034,鋼鐵工業,允強
2038,鋼鐵工業,海光
2049,電機機械,上銀
2059,電子零組件業,川湖
2062,居家生活,橋椿
2069,鋼鐵工業,運錩
2101,橡膠工業,南港
2102,橡膠工業,泰豐
2103,橡膠工業,台橡
2104,橡膠工業,國際中橡
2105,橡膠工業,正新
2106,橡膠工業,建大
2107,橡膠工業,厚生
2108,橡膠工業,南帝
2109,橡膠工業,華豐
2114,橡膠工業,鑫永銓
2115,汽車工業,六暉-KY
2201,汽車工業,裕隆
2204,汽車工業,中華
2206,汽車工業,三陽工業
2207,汽車工業,和泰車
2208,航運業,台船
2211,鋼鐵工業,長榮鋼
2227,汽車工業,裕日車
2228,汽車工業,劍麟
2231,汽車工業,為升
2233,汽車工業,宇隆
2236,汽車工業,百達-KY
2239,汽車工業,英利-KY
2241,汽車工業,艾姆勒
2243,汽車工業,宏旭-KY
2247,汽車工業,汎德永業
2248,汽車工業,華勝-KY
2250,汽車工業,IKKA-KY
2301,電腦及週邊設備業,光寶科
2302,半導體業,麗正
2303,半導體業,聯電
2305,電腦及週邊設備業,全友
2308,電子零組件業,台達電
2312,其他電子業,金寶
2313,電子零組件業,華通
2314,通信網路業,台揚
2316,電子零組件業,楠梓電
2317,其他電子業,鴻海
2321,通信網路業,東訊
2323,光電業,中環
2324,電腦及週邊設備業,仁寶
2327,電子零組件業,國巨*
2328,電子零組件業,廣宇
2329,半導體業,華泰
2330,半導體業,台積電
2331,電腦及週邊設備業,精英
2332,通信網路業,友訊
2337,半導體業,旺宏
2338,半導體業,光罩
2340,半導體業,台亞
2342,半導體業,茂矽
2344,半導體業,華邦電
2345,通信網路業,智邦
2347,電子通路業,聯強
2348,其他業,海悅
2349,光電業,錸德
2351,半導體業,順德
2352,電腦及週邊設備業,佳世達
2353,電腦及週邊設備業,宏
2354,其他電子業,鴻準
2355,電子零組件業,敬鵬
2356,電腦及週邊設備業,英業達
2357,電腦及週邊設備業,華碩
2359,其他電子業,所羅門
2360,其他電子業,致茂
2362,電腦及週邊設備業,藍天
2363,半導體業,矽統
2364,電腦及週邊設備業,倫飛
2365,電腦及週邊設備業,昆盈
2367,電子零組件業,燿華
2368,電子零組件業,金像電
2369,半導體業,菱生
2371,電機機械,大同
2373,其他電子業,震旦行
2374,光電業,佳能
2375,電子零組件業,凱美
2376,電腦及週邊設備業,技嘉
2377,電腦及週邊設備業,微星
2379,半導體業,瑞昱
2380,電腦及週邊設備業,虹光
2382,電腦及週邊設備業,廣達
2383,電子零組件業,台光電
2385,電子零組件業,群光
2387,電腦及週邊設備業,精元
2388,半導體業,威盛
2390,其他電子業,云辰
2392,電子零組件業,正崴
2393,光電業,億光
2395,電腦及週邊設備業,研華
2397,電腦及週邊設備業,友通
2399,電腦及週邊設備業,映泰
2401,半導體業,凌陽
2402,電子零組件業,毅嘉
2404,其他電子業,漢唐
2405,電腦及週邊設備業,輔信
2406,光電業,國碩
2408,半導體業,南亞科
2409,光電業,友達
2412,通信網路業,中華電
2413,電子零組件業,環科
2414,電子通路業,精技
2415,電子零組件業,錩新
2417,電腦及週邊設備業,圓剛
2419,通信網路業,仲琦
2420,電子零組件業,新巨
2421,電子零組件業,建準
2423,其他電子業,固緯
2424,通信網路業,隴華
2425,電腦及週邊設備業,承啟
2426,光電業,鼎元
2427,資訊服務業,三商電
2428,電子零組件業,興勤
2429,光電業,銘旺科
2430,電子通路業,燦坤
2431,電子零組件業,聯昌
2433,其他電子業,互盛電
2434,半導體業,統懋
2436,半導體業,偉詮電
2438,光電業,翔耀
2439,通信網路業,美律
2440,電子零組件業,太空梭
2441,半導體業,超豐
2442,建材營造業,新美齊
2444,通信網路業,兆勁
2449,半導體業,京元電子
2450,通信網路業,神腦
2451,半導體業,創見
2453,資訊服務業,凌群
2454,半導體業,聯發科
2455,通信網路業,全新
2457,電子零組件業,飛宏
2458,半導體業,義隆
2459,其他電子業,敦吉
2460,電子零組件業,建通
2461,其他電子業,光群雷
2462,電子零組件業,良得電
2464,其他電子業,盟立
2465,電腦及週邊設備業,麗臺
2466,光電業,冠西電
2467,電子零組件業,志聖
2468,資訊服務業,華經
2471,資訊服務業,資通
2472,電子零組件業,立隆電
2474,其他電子業,可成
2476,電子零組件業,鉅祥
2477,其他電子業,美隆電
2478,電子零組件業,大毅
2480,資訊服務業,敦陽科
2481,半導體業,強茂
2482,其他電子業,連宇
2483,電子零組件業,百容
2484,電子零組件業,希華
2485,通信網路業,兆赫
2486,光電業,一詮
2488,其他電子業,漢平
2489,光電業,瑞軒
2491,光電業,吉祥全
2492,電子零組件業,華新科
2493,電子零組件業,揚博
2495,電腦及週邊設備業,普安
2496,其他業,卓越
2497,汽車工業,怡利電
2498,通信網路業,宏達電
2501,建材營造業,國建
2504,建材營造業,國產
2505,建材營造業,國揚
2506,建材營造業,太設
2509,建材營造業,全坤建
2511,建材營造業,太子
2514,其他業,龍邦
2515,建材營造業,中工
2516,建材營造業,新建
2520,建材營造業,冠德
2524,建材營造業,京城
2527,建材營造業,宏璟
2528,建材營造業,皇普
2530,建材營造業,華建
2534,建材營造業,宏盛
2535,建材營造業,達欣工
2536,建材營造業,宏普
2537,建材營造業,聯上發
2538,建材營造業,基泰
2539,建材營造業,櫻花建
2540,建材營造業,愛山林
2542,建材營造業,興富發
2543,建材營造業,皇昌
2545,建材營造業,皇翔
2546,建材營造業,根基
2547,建材營造業,日勝生
2548,建材營造業,華固
2597,建材營造業,潤弘
2601,貿易百貨業,益航
2603,航運業,長榮
2605,航運業,新興
2606,航運業,裕民
2607,航運業,榮運
2608,航運業,嘉里大榮
2609,航運業,陽明
2610,航運業,華航
2611,航運業,志信
2612,航運業,中航
2613,航運業,中櫃
2614,其他業,東森
2615,航運業,萬海
2616,油電燃氣業,山隆
2617,航運業,台航
2618,航運業,長榮航
2630,航運業,亞航
2633,航運業,台灣高鐵
2634,航運業,漢翔
2636,航運業,台驊控股
2637,航運業,慧洋-KY
2642,航運業,宅配通
2645,航運業,長榮航太
2646,航運業,星宇航空
2701,觀光餐旅,萬企
2702,觀光餐旅,華園
2704,觀光餐旅,國賓
2705,觀光餐旅,六福
2706,觀光餐旅,第一店
2707,觀光餐旅,晶華
2712,觀光餐旅,遠雄來
2722,觀光餐旅,夏都
2723,觀光餐旅,美食-KY
2727,觀光餐旅,王品
2731,觀光餐旅,雄獅
2739,觀光餐旅,寒舍
2748,觀光餐旅,雲品
2753,觀光餐旅,八方雲集
2762,運動休閒,世界健身-KY
2801,金融保險業,彰銀
2812,金融保險業,台中銀
2816,金融保險業,旺旺保
2820,金融保險業,華票
2832,金融保險業,台產
2834,金融保險業,臺企銀
2836,金融保險業,高雄銀
2838,金融保險業,聯邦銀
2845,金融保險業,遠東銀
2849,金融保險業,安泰銀
2850,金融保險業,新產
2851,金融保險業,中再保
2852,金融保險業,第一保
2855,金融保險業,統一證
2867,金融保險業,三商壽
2880,金融保險業,華南金
2881,金融保險業,富邦金
2882,金融保險業,國泰金
2883,金融保險業,凱基金
2884,金融保險業,玉山金
2885,金融保險業,元大金
2886,金融保險業,兆豐金
2887,金融保險業,台新新光金
2889,金融保險業,國票金
2890,金融保險業,永豐金
2891,金融保險業,中信金
2892,金融保險業,第一金
2897,金融保險業,王道銀行
2901,貿易百貨業,欣欣
2903,貿易百貨業,遠百
2904,其他業,匯僑
2905,貿易百貨業,三商
2906,貿易百貨業,高林
2908,貿易百貨業,特力
2910,貿易百貨業,統領
2911,貿易百貨業,麗嬰房
2912,貿易百貨業,統一超
2913,貿易百貨業,農林
2915,貿易百貨業,潤泰全
2923,建材營造業,鼎固-KY
2929,貿易百貨業,淘帝-KY
2939,貿易百貨業,永邑-KY
2945,貿易百貨業,三商家購
3002,電腦及週邊設備業,歐格
3003,電子零組件業,健和興
3004,鋼鐵工業,豐達科
3005,電腦及週邊設備業,神基
3006,半導體業,晶豪科
3008,光電業,大立光
3010,電子通路業,華立
3011,電子零組件業,今皓
3013,電腦及週邊設備業,晟銘電
3014,半導體業,聯陽
3015,電子零組件業,全漢
3016,半導體業,嘉晶
3017,電腦及週邊設備業,奇鋐
3018,其他電子業,隆銘綠能
3019,光電業,亞光
3021,電子零組件業,鴻名
3022,電腦及週邊設備業,威強電
3023,電子零組件業,信邦
3024,光電業,憶聲
3025,通信網路業,星通
3026,電子零組件業,禾伸堂
3027,通信網路業,盛達
3028,電子通路業,增你強
3029,資訊服務業,零壹
3030,其他電子業,德律
3031,光電業,佰鴻
3032,電子零組件業,偉訓
3033,電子通路業,威健
3034,半導體業,聯詠
3035,半導體業,智原
3036,電子通路業,文曄
3037,電子零組件業,欣興
3038,光電業,全台
3040,其他業,遠見
3041,半導體業,揚智
3042,電子零組件業,晶技
3043,其他電子業,科風
3044,電子零組件業,健鼎
3045,通信網路業,台灣大
3046,電腦及週邊設備業,建
3047,通信網路業,訊舟
3048,電子通路業,益登
3049,光電業,精金
3050,光電業,鈺德
3051,光電業,力特
3052,建材營造業,夆典
3054,食品工業,立萬利
3055,電子通路業,蔚華科
3056,建材營造業,富華新
3057,電腦及週邊設備業,喬鼎
3058,電子零組件業,立德
3059,光電業,華晶科
3060,電腦及週邊設備業,銘異
3062,通信網路業,建漢
3090,電子零組件業,日電貿
3092,電子零組件業,鴻碩
3094,半導體業,聯傑
3130,數位雲端,一零四
3135,半導體業,凌航
3138,通信網路業,耀登
3149,光電業,正達
3164,生技醫療業,景岳
3167,電機機械,大量
3168,光電業,眾福科
3189,半導體業,景碩
3209,電子通路業,全科
3229,電子零組件業,晟鈦
3231,電腦及週邊設備業,緯創
3257,半導體業,虹冠電
3266,建材營造業,昇陽
3296,電子零組件業,勝德
3305,其他電子業,昇貿
3308,電子零組件業,聯德
3311,通信網路業,閎暉
3312,電子通路業,弘憶股
3321,電子零組件業,同泰
3338,電子零組件業,泰碩
3346,汽車工業,麗清
3356,光電業,奇偶
3376,電子零組件業,新日興
3380,通信網路業,明泰
3406,光電業,玉晶光
3413,半導體業,京鼎
3416,電腦及週邊設備業,融程電
3419,通信網路業,譁裕
3432,電子零組件業,台端
3437,光電業,榮創
3443,半導體業,創意
3447,通信網路業,展達
3450,半導體業,聯鈞
3454,光電業,晶睿
3481,光電業,群創
3494,電腦及週邊設備業,誠研
3501,電子零組件業,維熹
3504,光電業,揚明光
3515,電腦及週邊設備業,華擎
3518,其他電子業,柏騰
3528,電子通路業,安馳
3530,半導體業,晶相光
3532,半導體業,台勝科
3533,電子零組件業,嘉澤
3535,光電業,晶彩科
3543,光電業,州巧
3545,半導體業,敦泰
3550,電子零組件業,聯穎
3557,居家生活,嘉威
3563,光電業,牧德
3576,光電業,聯合再生
3583,半導體業,辛耘
3588,半導體業,通嘉
3591,光電業,艾笛森
3592,半導體業,瑞鼎
3593,電子零組件業,力銘
3596,通信網路業,智易
3605,電子零組件業,宏致
3607,電子零組件業,谷崧
3617,其他電子業,碩天
3622,光電業,洋華
3645,電子零組件業,達邁
3652,電腦及週邊設備業,精聯
3653,電子零組件業,健策
3661,半導體業,世芯-KY
3665,其他電子業,貿聯-KY
3669,通信網路業,圓展
3673,光電業,TPK-KY
3679,電子零組件業,新至陞
3686,半導體業,達能
3694,通信網路業,海華
3701,電腦及週邊設備業,大眾控
3702,電子通路業,大聯大
3703,建材營造業,欣陸
3704,通信網路業,合勤控
3705,生技醫療業,永信
3706,電腦及週邊設備業,神達
3708,綠能環保,上緯投控
3711,半導體業,日月光投控
3712,電腦及週邊設備業,永崴投控
3714,光電業,富采
3715,電子零組件業,定穎投控
3716,生技醫療業,中化控股
3717,汽車工業,聯嘉投控
4104,生技醫療業,佳醫
4106,生技醫療業,雃博
4108,生技醫療業,懷特
4119,生技醫療業,旭富
4133,生技醫療業,亞諾法
4137,生技醫療業,麗豐-KY
4142,生技醫療業,國光生
4148,生技醫療業,全宇生技-KY
4155,生技醫療業,訊映
4164,生技醫療業,承業醫
4190,生技醫療業,佐登-KY
4306,塑膠工業,炎洲
4414,紡織纖維,如興
4426,紡織纖維,利勤
4438,紡織纖維,廣越
4439,紡織纖維,冠星-KY
4440,紡織纖維,宜新實業
4441,紡織纖維,振大環球
4526,電機機械,東台
4532,電機機械,瑞智
4536,運動休閒,拓凱
4540,電機機械,全球傳動
4545,電子零組件業,銘鈺
4551,汽車工業,智伸科
4552,電機機械,力達-KY
4555,電機機械,氣立
4557,汽車工業,永新-KY
4560,電機機械,強信-KY
4562,電機機械,穎漢
4564,電機機械,元翎
4566,電機機械,時碩工業
4569,汽車工業,六方科-KY
4571,電機機械,鈞興-KY
4572,電機機械,駐龍
4576,電機機械,大銀微系統
4581,汽車工業,光隆精密-KY
4583,電機機械,台灣精銳
4585,其他電子業,達明
4588,其他電子業,玖鼎電力
4720,化學工業,德淵
4722,化學工業,國精化
4736,生技醫療業,泰博
4737,生技醫療業,華廣
4739,化學工業,康普
4746,生技醫療業,台耀
4755,化學工業,三福化
4763,化學工業,材料*-KY
4764,化學工業,雙鍵
4766,化學工業,南寶
4770,化學工業,上品
4771,生技醫療業,望隼
4807,貿易百貨業,日成-KY
4904,通信網路業,遠傳
4906,通信網路業,正文
4912,電子零組件業,聯德控股-KY
4915,電子零組件業,致伸
4916,電腦及週邊設備業,事欣科
4919,半導體業,新唐
4927,電子零組件業,泰鼎-KY
4930,電器電纜,燦星網
4934,光電業,太極
4935,光電業,茂林-KY
4938,電腦及週邊設備業,和碩
4942,光電業,嘉彰
4943,電子零組件業,康控-KY
4949,光電業,有成精密
4952,半導體業,凌通
4956,光電業,光鋐
4958,電子零組件業,臻鼎-KY
4960,光電業,誠美材
4961,半導體業,天鈺
4967,半導體業,十銓
4968,半導體業,立積
4976,光電業,佳凌
4977,通信網路業,眾達-KY
4989,電子零組件業,榮科
4994,資訊服務業,傳奇
4999,電子零組件業,鑫禾
5007,鋼鐵工業,三星
5203,資訊服務業,訊連
5215,電腦及週邊設備業,科嘉-KY
5222,半導體業,全訊
5225,其他電子業,東科-KY
5234,光電業,達興材料
5243,光電業,乙盛-KY
5244,光電業,弘凱
5258,電腦及週邊設備業,虹堡
5269,半導體業,祥碩
5283,電器電纜,禾聯碩
5284,其他業,jpp-KY
5285,半導體業,界霖
5288,電機機械,豐祥-KY
5292,綠能環保,華懋
5306,運動休閒,桂盟
5388,通信網路業,中磊
5434,電子通路業,崇越
5469,電子零組件業,瀚宇博
5471,半導體業,松翰
5484,光電業,慧友
5515,建材營造業,建國
5519,建材營造業,隆大
5521,建材營造業,工信
5522,建材營造業,遠雄
5525,建材營造業,順天
5531,建材營造業,鄉林
5533,建材營造業,皇鼎
5534,建材營造業,長虹
5538,鋼鐵工業,東明-KY
5546,建材營造業,永固-KY
5607,航運業,遠雄港
5608,航運業,四維航
5706,觀光餐旅,鳳凰
5871,其他業,中租-KY
5876,金融保險業,上海商銀
5880,金融保險業,合庫金
5906,貿易百貨業,台南-KY
5907,貿易百貨業,大洋-KY
6005,金融保險業,群益證
6024,金融保險業,群益期
6108,電子零組件業,競國
6112,資訊服務業,邁達特
6115,電子零組件業,鎰勝
6116,光電業,彩晶
6117,電腦及週邊設備業,迎廣
6120,光電業,達運
6128,電腦及週邊設備業,上福
6133,電子零組件業,金橋
6136,通信網路業,富爾特
6139,其他電子業,亞翔
6141,電子零組件業,柏承
6142,通信網路業,友勁
6152,通信網路業,百一
6153,電子零組件業,嘉聯益
6155,電子零組件業,鈞寶
6164,光電業,華興
6165,數位雲端,浪凡
6166,電腦及週邊設備業,凌華
6168,光電業,宏齊
6176,光電業,瑞儀
6177,建材營造業,達麗
6183,資訊服務業,關貿
6184,其他業,大豐電
6189,電子通路業,豐藝
6191,電子零組件業,精成科
6192,其他電子業,巨路
6196,其他電子業,帆宣
6197,電子零組件業,佳必琪
6201,其他電子業,亞弘電
6202,半導體業,盛群
6205,電子零組件業,詮欣
6206,電腦及週邊設備業,飛捷
6209,光電業,今國光
6213,電子零組件業,聯茂
6214,資訊服務業,精誠
6215,其他電子業,和椿
6216,通信網路業,居易
6224,電子零組件業,聚鼎
6225,光電業,天瀚
6226,光電業,光鼎
6230,電腦及週邊設備業,尼得科超眾
6235,電腦及週邊設備業,華孚
6239,半導體業,力成
6243,半導體業,迅杰
6257,半導體業,矽格
6269,電子零組件業,台郡
6271,半導體業,同欣電
6272,電子零組件業,驊陞
6277,電腦及週邊設備業,宏正
6278,光電業,台表科
6281,電子通路業,全國電
6282,電子零組件業,康舒
6283,其他電子業,淳安
6285,通信網路業,啟
6405,光電業,悅城
6409,其他電子業,旭隼
6412,電子零組件業,群電
6414,電腦及週邊設備業,樺漢
6415,半導體業,矽力*-KY
6416,通信網路業,瑞祺電通
6426,通信網路業,統新
6431,生技醫療業,光麗-KY
6438,其他電子業,迅得
6442,通信網路業,光聖
6443,光電業,元晶
6446,生技醫療業,藥華藥
6449,電子零組件業,鈺邦
6451,半導體業,訊芯-KY
6456,光電業,GIS-KY
6464,其他業,台數科
6472,生技醫療業,保瑞
6477,光電業,安集
6491,生技醫療業,晶碩
6504,其他業,南六
6505,油電燃氣業,台塑化
6515,半導體業,穎崴
6525,半導體業,捷敏-KY
6526,半導體業,達發
6531,半導體業,愛普*
6533,半導體業,晶心科
6541,生技醫療業,泰福-KY
6550,生技醫療業,北極星藥業-KY
6552,半導體業,易華電
6558,其他電子業,興能高
6573,半導體業,虹揚-KY
6579,電腦及週邊設備業,研揚
6581,綠能環保,鋼聯
6582,橡膠工業,申豐
6585,其他業,鼎基
6589,生技醫療業,台康生技
6591,電腦及週邊設備業,動力-KY
6592,其他業,和潤企業
6598,生技醫療業,ABC-KY
6605,汽車工業,帝寶
6606,電機機械,建德工業
6614,數位雲端,資拓宏宇
6625,其他業,必應
6641,綠能環保,基士德-KY
6655,其他業,科定
6657,生技醫療業,華安
6658,其他電子業,聯策
6666,生技醫療業,羅麗芬-KY
6668,光電業,中揚光
6669,電腦及週邊設備業,緯穎
6670,運動休閒,復盛應用
6671,居家生活,三能-KY
6672,電子零組件業,騰輝電子-KY
6674,通信網路業,鋐寶科技
6689,數位雲端,伊雲谷
6691,其他電子業,洋基工程
6695,半導體業,芯鼎
6698,其他電子業,旭暉應材
6706,光電業,惠特
6715,電子零組件業,嘉基
6719,半導體業,力智
6722,其他電子業,輝創
6742,光電業,澤米
6743,其他電子業,安普新
6753,航運業,龍德造船
6754,居家生活,匯僑設計
6756,半導體業,威鋒電子
6757,航運業,台灣虎航
6768,運動休閒,志強-KY
6770,半導體業,力積電
6776,電子通路業,展眥篕
6781,電子零組件業,AES-KY
6782,生技醫療業,視陽
6789,半導體業,采鈺
6790,造紙工業,永豐實
6792,通信網路業,詠業
6794,生技醫療業,向榮生技
6796,生技醫療業,晉弘
6799,半導體業,來頡
6805,電子零組件業,富世達
6806,綠能環保,森崴能源
6807,居家生活,峰源-KY
6830,其他電子業,汎銓
6831,電腦及週邊設備業,邁科
6834,電子零組件業,天二科技
6835,電子零組件業,圓裕
6838,生技醫療業,台新藥
6861,生技醫療業,睿生光電
6862,電子零組件業,三集瑞-KY
6863,通信網路業,永道-KY
6869,綠能環保,雲豹能源
6873,綠能環保,泓德能源
6885,生技醫療業,全福生技
6887,綠能環保,寶綠特-KY
6890,運動休閒,來億-KY
6901,其他業,鑽石投資
6902,數位雲端,GOGOLOOK
6906,數位雲端,現觀科
6909,半導體業,創控
6914,其他業,阜爾運通
6916,光電業,華凌
6918,生技醫療業,愛派司
6919,生技醫療業,康霈*
6923,綠能環保,中台
6928,電腦及週邊設備業,攸泰科技
6931,生技醫療業,青松健康
6933,電腦及週邊設備業,AMAX-KY
6934,生技醫療業,心誠鎂
6936,生技醫療業,永鴻生技
6937,半導體業,天虹
6944,綠能環保,兆聯實業
6952,其他業,大武山
6957,其他業,裕慶-KY
6958,其他業,日盛台駿
6962,半導體業,奕力-KY
6965,運動休閒,中傑-KY
6994,綠能環保,富威電力
7705,觀光餐旅,三商餐飲
7711,電腦及週邊設備業,永擎
7721,數位雲端,微程式
7722,數位雲端,LINEPAY
7732,汽車工業,金興精密
7736,汽車工業,虎山
7749,半導體業,意騰-KY
7750,電機機械,新代
7765,數位雲端,中華資安
7769,半導體業,鴻勁
7780,食品工業,大研生醫*
7786,綠能環保,東方風能
7788,電子零組件業,松川精密
7791,食品工業,皇家可口
7795,電子零組件業,長廣
7799,生技醫療業,禾榮科
8011,通信網路業,台通
8016,半導體業,矽創
8021,其他電子業,尖點
8028,半導體業,昇陽半導體
8033,其他業,雷虎
8039,電子零組件業,台虹
8045,通信網路業,達運光電
8046,電子零組件業,南電
8070,電子通路業,長華*
8072,電子通路業,陞泰
8081,半導體業,致新
8101,通信網路業,華冠
8103,電子零組件業,瀚荃
8104,光電業,錸寶
8105,光電業,凌巨
8110,半導體業,華東
8112,電子通路業,至上
8114,電腦及週邊設備業,振樺電
8131,半導體業,福懋科
8150,半導體業,南茂
8163,電腦及週邊設備業,達方
8201,其他電子業,無敵
8210,電腦及週邊設備業,勤誠
8213,電子零組件業,志超
8215,光電業,明基材
8222,電機機械,寶一
8249,電子零組件業,菱光
8261,半導體業,富鼎
8271,半導體業,宇瞻
8341,綠能環保,日友
8367,航運業,建新國際
8374,電機機械,羅昇
8404,其他業,百和興業-KY
8411,其他業,福貞-KY
8422,綠能環保,可寧衛*
8429,貿易百貨業,金麗-KY
8438,綠能環保,昶昕
8442,其他業,威宏-KY
8443,貿易百貨業,阿瘦
8454,數位雲端,富邦媒
8462,運動休閒,柏文
8463,其他業,潤泰材
8464,居家生活,億豐
8466,其他業,美吉吉-KY
8467,運動休閒,波力-KY
8473,綠能環保,山林水
8476,綠能環保,台境*
